rank,id,name_en,name_th,province,province_th,region,tier,reality,league,composite_score,livability,economy,safety,wellbeing,environment,hospitality,digital,gpp_per_capita_baht,data_confidence,smart_dimensions,tagline_en
95,reg-trat,Trat Municipality,เทศบาลเมืองตราด,Trat,ตราด,east,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
96,reg-sa-kaeo,Sa Kaeo Municipality,เทศบาลเมืองสระแก้ว,Sa Kaeo,สระแก้ว,east,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
97,reg-prachin-buri,Prachin Buri Municipality,เทศบาลเมืองปราจีนบุรี,Prachin Buri,ปราจีนบุรี,east,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
98,reg-nakhon-nayok,Nakhon Nayok Municipality,เทศบาลเมืองนครนายก,Nakhon Nayok,นครนายก,east,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
99,reg-surat-thani,Surat Thani Municipality,เทศบาลนครสุราษฎร์ธานี,Surat Thani,สุราษฎร์ธานี,south,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
100,reg-nakhon-si-pao,Nakhon Si Thammarat PAO,อบจ.นครศรีธรรมราช,Nakhon Si Thammarat,นครศรีธรรมราช,south,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
101,reg-chumphon,Chumphon Municipality,เทศบาลเมืองชุมพร,Chumphon,ชุมพร,south,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
102,reg-ranong,Ranong Municipality,เทศบาลเมืองระนอง,Ranong,ระนอง,south,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
103,reg-phatthalung,Phatthalung Municipality,เทศบาลเมืองพัทลุง,Phatthalung,พัทลุง,south,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
104,reg-songkhla-pao,Songkhla PAO,อบจ.สงขลา,Songkhla,สงขลา,south,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
105,reg-phuket-pao,Phuket PAO,อบจ.ภูเก็ต,Phuket,ภูเก็ต,south,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
106,reg-krabi-muni,Krabi Municipality,เทศบาลเมืองกระบี่,Krabi,กระบี่,south,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
107,reg-trang-muni,Trang Municipality,เทศบาลนครตรัง,Trang,ตรัง,south,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
108,reg-yala-pao,Yala PAO,อบจ.ยะลา,Yala,ยะลา,south,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
109,reg-pattani-muni,Pattani Municipality,เทศบาลเมืองปัตตานี,Pattani,ปัตตานี,south,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
110,reg-narathiwat-muni,Narathiwat Municipality,เทศบาลเมืองนราธิวาส,Narathiwat,นราธิวาส,south,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
111,reg-bangkok-noi,Bangkok Noi District,เขตบางกอกน้อย,Bangkok,กรุงเทพฯ,bangkok,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
112,reg-bang-rak,Bang Rak District,เขตบางรัก,Bangkok,กรุงเทพฯ,bangkok,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
113,reg-din-daeng,Din Daeng District,เขตดินแดง,Bangkok,กรุงเทพฯ,bangkok,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
114,reg-chatuchak,Chatuchak District,เขตจตุจักร,Bangkok,กรุงเทพฯ,bangkok,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
115,reg-bang-sue,Bang Sue District,เขตบางซื่อ,Bangkok,กรุงเทพฯ,bangkok,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,economy; energy; environment; governance; living; mobility; people,Promotion zone — awaiting sufficient data for full assessment.
116,makkasan,Makkasan Smart City,มักกะสันสมาร์ทซิตี้,Bangkok,กรุงเทพฯ,bangkok,gamma,planned,district,38.3,36,35,65,30,35,25,40,628000,high,economy; energy; living; mobility,Massive transit hub plan on paper. Almost nothing built. The land exists but the smart city doesn't — yet another plan waiting to become reality.
117,phuket-tinicon,Phuket Tinicon Valley,ภูเก็ตทินิคอนวัลเลย์,Phuket,ภูเก็ต,south,gamma,planned,special-zone,37.2,39,30,58,20,55,20,45,492000,high,economy; energy; environment; governance; living; mobility; people,"Newest certified city — but it's a development plan, not a functioning city. The logo was awarded to a concept."
118,wangchan-valley,Wangchan Valley Smart City,วังจันทร์วัลเลย์สมาร์ทซิตี้,Rayong,ระยอง,east,gamma,planned,campus,28.5,33,22,32,15,50,10,55,1020000,high,economy; energy; environment; governance; living; mobility; people,"Thailand's #1-ranked smart city on paper — PTT's 3,454-rai EEC campus with VISTEC and KVIS operational, but the biorefinery is two years delayed and zero residential occupancy has been published. The structural question underlying everything: World Bank CCDR 2025 documents the EEC facing a 40% water supply shortfall by 2037 under average hydrology — 72% in dry years — even after 32 planned infrastructure investments. Wangchan Valley's development thesis depends on EEC water security that does not yet exist."
